wait_open,n,wait_mins
,63,
__NA__,51420,
@75 minutes,1,75
1 1./2 hours,1,90
1 1/2,1,90
1 1/2 hours,1,90
1 1/2 hrs,1,90
1 1/4 hour,1,75
1 1/4 hours,1,75
1 30,1,90
1 30mins,1,90
1 and 10 minutes,1,70
1 and a half,1,90
1 and half,1,90
1 he 15 min,1,75
1 hour & 22 Min,1,82
1 hour 10 minutes,3,70
1 hour 15,1,75
1 hour 15 mins,1,75
1 hour 15 minutes,5,75
1 hour 20 minutes,4,80
1 hour 20minutes,1,80
1 hour 22 minutes,1,82
1 hour 30 min,1,90
1 hour 30 minutes,2,90
1 hour 45 mins,1,105
1 hour 45 minutes,5,105
1 hour 50 minutes,1,110
1 hour 55 minutes,1,115
1 hour and 20 minutes,1,80
1 hour and 22 minutes,1,82
1 hour and 30 minutes,2,90
1 hour and 35 minutes,1,95
1 hour and 45 minutes,2,105
1 hour and fifteen minutes,1,75
"1 hour, 15 min.",1,75
1 hr 10 minutes,1,70
1 hr 15min,1,75
1 hr 25 min,1,85
1 hr 30 minutes,2,90
1 hr and 30 minutes,1,90
1 hr in half,1,90
1 hr. 20 minutes,1,80
1 hr. 45 min.,1,105
1;45,1,105
1:01,1,61
1:10,3,70
1:15,4,75
1:20,1,80
1:30,1,90
1:45,2,105
1..5 hours,1,90
1.25,1,75
1.25 hours,4,75
1.3,1,90
1.3,1,90
1.45,1,105
1.5,5,90
1.5 hour,2,90
1.5 hours,28,90
1.5 hrs,4,90
1.5hr,1,90
1.5hrs,1,90
1.75 hr,1,105
120,1,120
120 mins,1,120
130 minutes,1,130
135 minutes,1,135
1hr 15min,1,75
1hr 20 min,1,80
1hr 20 mins,1,80
1hr 45 min,1,105
1hr 45min,1,105
1hr 5min,1,65
2,15,120
2 1/2 hours,3,150
2 1/2 if not more no more early vote for me,1,150
2 hours,36,120
2 Hours,1,120
2 HOURS,1,120
2 hours 41 minutes,1,161
2 hours 5 minutes,1,125
2 hours and 10 minutes,1,130
2 hpurs,1,120
2 hr,1,120
2 hrs,1,120
2:45,1,165
2.25 hours,2,135
2.5,4,150
2.5 hours,4,150
2.5 Hours,1,150
240,1,240
2hours,2,120
2hrs,1,120
2hrs 20min,1,140
2hrs 45mins,1,165
3,7,180
3 1/2 hours,1,210
3 hours,6,180
3 hours.,1,180
3 hrs,2,180
3+ hours,1,180
3hour,1,180
4,1,240
4 hours,3,240
5 hours,1,300
65 minutes,4,65
69 minutes,1,69
70 min,1,70
70 mins,1,70
70 minutes,10,70
75 min,1,75
75 minutes,9,75
80 min,1,80
80 minutes,5,80
85 minutes,2,85
90,3,90
90 min,2,90
90 mins,1,90
90 minutes,22,90
95 minutes,1,95
A little over 2 hours,1,120
A little something over two hours,1,120
About 1 and a half hours,1,90
about 2 hours and 15 minutes,1,135
About 2.5-3 hours,1,165
about 2hrs in heat/we could have lined inside halls like befor,1,120
about 3 hours,1,180
about 75 minutes,1,75
about 90 minutes,1,90
About a hour and a half,1,90
Almost 2 hrs.,1,120
An 1hr and 30 mins,1,90
an hour and half,1,90
Approx. 2 hours,1,120
Hour 45 min,1,105
Hour and a half,1,90
just over an hour,1,60
machine broke had to come back,1,
One and a half hours,1,90
one and half hours,1,90
one hour fifteen minutes,1,75
one hour ten minutes,1,70
Over 2 hours,1,120